id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit
1FMUK8HH2VGA36075	2027 Ford Explorer Platinum	Ford	https://www.andersonandkochford.com/vehicle/1FMUK8HH2VGA36075/2027-Ford-Explorer-North_Branch-MN/	57545 USD	2027 Avalanche Ford Explorer Platinum 4WD 2.3L EcoBoost I-4 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/322180843	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMUK8HH2VGA36075	https://www.andersonandkochford.com/vehicle/1FMUK8HH2VGA36075/2027-Ford-Explorer-North_Branch-MN/123?store={store_code}	NA	0 miles	Explorer	1FMUK8HH2VGA36075	2027	57545 USD	04229513139877848249	57545 USD	MI
1FMUK8KH4VGA12207	2027 Ford Explorer ST-Line	Ford	https://www.andersonandkochford.com/vehicle/1FMUK8KH4VGA12207/2027-Ford-Explorer-North_Branch-MN/	48312 USD	2027 Avalanche Ford Explorer St-line 4WD 2.3L EcoBoost I-4 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/322036187	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMUK8KH4VGA12207	https://www.andersonandkochford.com/vehicle/1FMUK8KH4VGA12207/2027-Ford-Explorer-North_Branch-MN/123?store={store_code}	NA	0 miles	Explorer	1FMUK8KH4VGA12207	2027	48312 USD	04229513139877848249	48312 USD	MI
1FTER4HP2TLE66407	2026 Ford Ranger XLT	Ford	https://www.andersonandkochford.com/vehicle/1FTER4HP2TLE66407/2026-Ford-Ranger-North_Branch-MN/	46484 USD	2026 Avalanche Ford Ranger Xlt 4WD 2.7L EcoBoost V6 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/300266687	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTER4HP2TLE66407	https://www.andersonandkochford.com/vehicle/1FTER4HP2TLE66407/2026-Ford-Ranger-North_Branch-MN/123?store={store_code}	NA	0 miles	Ranger	1FTER4HP2TLE66407	2026	46484 USD	04229513139877848249	46484 USD	MI
1FTEW2LP9TKF68359	2026 Ford F-150 STX	Ford	https://www.andersonandkochford.com/vehicle/1FTEW2LP9TKF68359/2026-Ford-F--150-North_Branch-MN/	45901 USD	2026 Avalanche Ford F-150 Stx 4WD 2.7L V6 EcoBoost For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/311184325	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTEW2LP9TKF68359	https://www.andersonandkochford.com/vehicle/1FTEW2LP9TKF68359/2026-Ford-F--150-North_Branch-MN/123?store={store_code}	NA	0 miles	F-150	1FTEW2LP9TKF68359	2026	45901 USD	04229513139877848249	45901 USD	MI
1FTFW1E50PKF80688	2023 Ford F-150 XLT	Ford	https://www.andersonandkochford.com/vehicle/1FTFW1E50PKF80688/Used-2023-Ford-F--150-North_Branch-MN/	45345 USD	2023 Avalanche Ford F-150 Xlt 4WD 5.0L V8 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/320798790	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTFW1E50PKF80688	https://www.andersonandkochford.com/vehicle/1FTFW1E50PKF80688/Used-2023-Ford-F--150-North_Branch-MN/123?store={store_code}	NA	25606 miles	F-150	1FTFW1E50PKF80688	2023	45345 USD	04229513139877848249	45345 USD	MI
1FTFW1E87PFB11102	2023 Ford F-150 XLT	Ford	https://www.andersonandkochford.com/vehicle/1FTFW1E87PFB11102/Used-2023-Ford-F--150-North_Branch-MN/	35345 USD	2023 Avalanche Ford F-150 Xlt 4WD 3.5L V6 EcoBoost For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/322155894	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTFW1E87PFB11102	https://www.andersonandkochford.com/vehicle/1FTFW1E87PFB11102/Used-2023-Ford-F--150-North_Branch-MN/123?store={store_code}	NA	51487 miles	F-150	1FTFW1E87PFB11102	2023	35345 USD	04229513139877848249	35345 USD	MI
1FTFW2L84RFB19833	2024 Ford F-150 STX	Ford	https://www.andersonandkochford.com/vehicle/1FTFW2L84RFB19833/Used-2024-Ford-F--150-North_Branch-MN/	40345 USD	2024 Avalanche Ford F-150 Stx 4WD 3.5L V6 EcoBoost For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/321619489	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTFW2L84RFB19833	https://www.andersonandkochford.com/vehicle/1FTFW2L84RFB19833/Used-2024-Ford-F--150-North_Branch-MN/123?store={store_code}	NA	19041 miles	F-150	1FTFW2L84RFB19833	2024	40345 USD	04229513139877848249	40345 USD	MI
1FTFW5L83TKF26705	2026 Ford F-150 LARIAT	Ford	https://www.andersonandkochford.com/vehicle/1FTFW5L83TKF26705/2026-Ford-F--150-North_Branch-MN/	63756 USD	2026 Avalanche Ford F-150 Lariat 4WD 3.5L V6 EcoBoost For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/321539054	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTFW5L83TKF26705	https://www.andersonandkochford.com/vehicle/1FTFW5L83TKF26705/2026-Ford-F--150-North_Branch-MN/123?store={store_code}	NA	0 miles	F-150	1FTFW5L83TKF26705	2026	63756 USD	04229513139877848249	63756 USD	MI
5YFB4MDE5SP239420	2025 Toyota Corolla LE	Toyota	https://www.andersonandkochford.com/vehicle/5YFB4MDE5SP239420/Used-2025-Toyota-Corolla-North_Branch-MN/	22245 USD	2025 Celestite Toyota Corolla Le FWD 2.0L I4 DOHC 16V For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/321232945	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	5YFB4MDE5SP239420	https://www.andersonandkochford.com/vehicle/5YFB4MDE5SP239420/Used-2025-Toyota-Corolla-North_Branch-MN/123?store={store_code}	NA	48584 miles	Corolla	5YFB4MDE5SP239420	2025	22245 USD	04229513139877848249	22245 USD	MI
1C4AJWBGXHL756086	2017 Jeep Wrangler Sahara	Jeep	https://www.andersonandkochford.com/vehicle/1C4AJWBGXHL756086/Used-2017-Jeep-Wrangler-North_Branch-MN/	11345 USD	2017 Black Clearcoat Jeep Wrangler Sahara 4WD 3.6L V6 24V VVT For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/322136098	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4AJWBGXHL756086	https://www.andersonandkochford.com/vehicle/1C4AJWBGXHL756086/Used-2017-Jeep-Wrangler-North_Branch-MN/123?store={store_code}	BLACK	171221 miles	Wrangler	1C4AJWBGXHL756086	2017	11345 USD	04229513139877848249	11345 USD	MI
1C4PJMDX5KD113268	2019 Jeep Cherokee Limited	Jeep	https://www.andersonandkochford.com/vehicle/1C4PJMDX5KD113268/Used-2019-Jeep-Cherokee-North_Branch-MN/	16345 USD	2019 Diamond Black Crystal Pearlcoat Jeep Cherokee Limited 4WD 3.2L V6 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/321059315	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4PJMDX5KD113268	https://www.andersonandkochford.com/vehicle/1C4PJMDX5KD113268/Used-2019-Jeep-Cherokee-North_Branch-MN/123?store={store_code}	BLACK	86155 miles	Cherokee	1C4PJMDX5KD113268	2019	16345 USD	04229513139877848249	16345 USD	MI
1C4RJHAG5RC699636	2024 Jeep Grand Cherokee Altitude	Jeep	https://www.andersonandkochford.com/vehicle/1C4RJHAG5RC699636/Used-2024-Jeep-Grand_Cherokee-North_Branch-MN/	30345 USD	2024 Silver Zynith Jeep Grand Cherokee Altitude 4WD 3.6L V6 24V VVT For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/320524572	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4RJHAG5RC699636	https://www.andersonandkochford.com/vehicle/1C4RJHAG5RC699636/Used-2024-Jeep-Grand_Cherokee-North_Branch-MN/123?store={store_code}	SILVER	25048 miles	Grand Cherokee	1C4RJHAG5RC699636	2024	30345 USD	04229513139877848249	30345 USD	MI
1C6HJTAG3ML543223	2021 Jeep Gladiator Willys	Jeep	https://www.andersonandkochford.com/vehicle/1C6HJTAG3ML543223/Used-2021-Jeep-Gladiator-North_Branch-MN/	25345 USD	2021 Sting-Gray Clearcoat Jeep Gladiator Willys 4WD 3.6L V6 24V VVT For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/320515162	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6HJTAG3ML543223	https://www.andersonandkochford.com/vehicle/1C6HJTAG3ML543223/Used-2021-Jeep-Gladiator-North_Branch-MN/123?store={store_code}	GRAY	80727 miles	Gladiator	1C6HJTAG3ML543223	2021	25345 USD	04229513139877848249	25345 USD	MI
1FM5K8F83HGC93967	2017 Ford Explorer Limited	Ford	https://www.andersonandkochford.com/vehicle/1FM5K8F83HGC93967/Used-2017-Ford-Explorer-North_Branch-MN/	8845 USD	2017 Ingot Silver Ford Explorer Limited 4WD 3.5L 6-Cylinder SMPI Turbocharged DOHC For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/317111499	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FM5K8F83HGC93967	https://www.andersonandkochford.com/vehicle/1FM5K8F83HGC93967/Used-2017-Ford-Explorer-North_Branch-MN/123?store={store_code}	SILVER	175510 miles	Explorer	1FM5K8F83HGC93967	2017	8845 USD	04229513139877848249	8845 USD	MI
1FMCU9JA1SUA84916	2025 Ford Escape Platinum	Ford	https://www.andersonandkochford.com/vehicle/1FMCU9JA1SUA84916/Used-2025-Ford-Escape-North_Branch-MN/	27845 USD	2025 Carbonized Gray Metallic Ford Escape Platinum AWD EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/290097491	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMCU9JA1SUA84916	https://www.andersonandkochford.com/vehicle/1FMCU9JA1SUA84916/Used-2025-Ford-Escape-North_Branch-MN/123?store={store_code}	GRAY	23319 miles	Escape	1FMCU9JA1SUA84916	2025	27845 USD	04229513139877848249	27845 USD	MI
1FMCU9JA6RUA71878	2024 Ford Escape Platinum	Ford	https://www.andersonandkochford.com/vehicle/1FMCU9JA6RUA71878/Used-2024-Ford-Escape-North_Branch-MN/	24345 USD	2024 Black Ford Escape Platinum AWD EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/319728563	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMCU9JA6RUA71878	https://www.andersonandkochford.com/vehicle/1FMCU9JA6RUA71878/Used-2024-Ford-Escape-North_Branch-MN/123?store={store_code}	BLACK	42209 miles	Escape	1FMCU9JA6RUA71878	2024	24345 USD	04229513139877848249	24345 USD	MI
1FMCU9JA8SUA60676	2025 Ford Escape Platinum	Ford	https://www.andersonandkochford.com/vehicle/1FMCU9JA8SUA60676/Used-2025-Ford-Escape-North_Branch-MN/	27845 USD	2025 Carbonized Gray Metallic Ford Escape Platinum AWD EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/290097491	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMCU9JA8SUA60676	https://www.andersonandkochford.com/vehicle/1FMCU9JA8SUA60676/Used-2025-Ford-Escape-North_Branch-MN/123?store={store_code}	GRAY	23496 miles	Escape	1FMCU9JA8SUA60676	2025	27845 USD	04229513139877848249	27845 USD	MI
1FMEE4DP2TLB06700	2026 Ford Bronco Heritage Edition	Ford	https://www.andersonandkochford.com/vehicle/1FMEE4DP2TLB06700/2026-Ford-Bronco-North_Branch-MN/	54336 USD	2026 Ruby Red Metallic Ford Bronco Heritage Edition 4WD 2.7L EcoBoost V6 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/318864386	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMEE4DP2TLB06700	https://www.andersonandkochford.com/vehicle/1FMEE4DP2TLB06700/2026-Ford-Bronco-North_Branch-MN/123?store={store_code}	RED	9 miles	Bronco	1FMEE4DP2TLB06700	2026	54336 USD	04229513139877848249	54336 USD	MI
1FMEE5DP7MLA85754	2021 Ford Bronco Badlands	Ford	https://www.andersonandkochford.com/vehicle/1FMEE5DP7MLA85754/Used-2021-Ford-Bronco-North_Branch-MN/	38845 USD	2021 Orange Metallic Ford Bronco Badlands 4WD 2.7L EcoBoost V6 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/320514599	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMEE5DP7MLA85754	https://www.andersonandkochford.com/vehicle/1FMEE5DP7MLA85754/Used-2021-Ford-Bronco-North_Branch-MN/123?store={store_code}	ORANGE	25263 miles	Bronco	1FMEE5DP7MLA85754	2021	38845 USD	04229513139877848249	38845 USD	MI
1FMEE5JR2PLC03851	2023 Ford Bronco Raptor	Ford	https://www.andersonandkochford.com/vehicle/1FMEE5JR2PLC03851/Used-2023-Ford-Bronco-North_Branch-MN/	65345 USD	2023 Azure Gray Metallic Tri-Coat Ford Bronco Raptor 4WD 3.0L EcoBoost V6 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/321089510	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMEE5JR2PLC03851	https://www.andersonandkochford.com/vehicle/1FMEE5JR2PLC03851/Used-2023-Ford-Bronco-North_Branch-MN/123?store={store_code}	GRAY	18311 miles	Bronco	1FMEE5JR2PLC03851	2023	65345 USD	04229513139877848249	65345 USD	MI
1FMEE8BPXTLB72244	2026 Ford Bronco Outer Banks	Ford	https://www.andersonandkochford.com/vehicle/1FMEE8BPXTLB72244/2026-Ford-Bronco-North_Branch-MN/	61180 USD	2026 Oxford White Ford Bronco Outer Banks 4WD 2.7L EcoBoost V6 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/299061378	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMEE8BPXTLB72244	https://www.andersonandkochford.com/vehicle/1FMEE8BPXTLB72244/2026-Ford-Bronco-North_Branch-MN/123?store={store_code}	WHITE	0 miles	Bronco	1FMEE8BPXTLB72244	2026	61180 USD	04229513139877848249	61180 USD	MI
1FMEE9BP0TLB20997	2026 Ford Bronco Badlands	Ford	https://www.andersonandkochford.com/vehicle/1FMEE9BP0TLB20997/2026-Ford-Bronco-North_Branch-MN/	62562 USD	2026 Oxford White Ford Bronco Badlands 4WD 2.7L EcoBoost V6 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/318864536	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMEE9BP0TLB20997	https://www.andersonandkochford.com/vehicle/1FMEE9BP0TLB20997/2026-Ford-Bronco-North_Branch-MN/123?store={store_code}	WHITE	41 miles	Bronco	1FMEE9BP0TLB20997	2026	62562 USD	04229513139877848249	62562 USD	MI
1FMEE9BP7TLB23444	2026 Ford Bronco Badlands	Ford	https://www.andersonandkochford.com/vehicle/1FMEE9BP7TLB23444/2026-Ford-Bronco-North_Branch-MN/	64023 USD	2026 Shadow Black Ford Bronco Badlands 4WD 2.7L EcoBoost V6 For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/318864199	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMEE9BP7TLB23444	https://www.andersonandkochford.com/vehicle/1FMEE9BP7TLB23444/2026-Ford-Bronco-North_Branch-MN/123?store={store_code}	BLACK	5 miles	Bronco	1FMEE9BP7TLB23444	2026	64023 USD	04229513139877848249	64023 USD	MI
1FMJK1M83VEA14405	2027 Ford Expedition MAX Platinum	Ford	https://www.andersonandkochford.com/vehicle/1FMJK1M83VEA14405/2027-Ford-Expedition_MAX-North_Branch-MN/	84343 USD	2027 Black Metallic Ford Expedition Max Platinum 4WD EcoBoost 3.5L V6 GTDi DOHC 24V Twin Turbocharged For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/320299649	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMJK1M83VEA14405	https://www.andersonandkochford.com/vehicle/1FMJK1M83VEA14405/2027-Ford-Expedition_MAX-North_Branch-MN/123?store={store_code}	BLACK	0 miles	Expedition Max	1FMJK1M83VEA14405	2027	84343 USD	04229513139877848249	84343 USD	MI
1FMJU1MG2VEA28491	2027 Ford Expedition Platinum	Ford	https://www.andersonandkochford.com/vehicle/1FMJU1MG2VEA28491/2027-Ford-Expedition-North_Branch-MN/	84446 USD	2027 White Ford Expedition Platinum 4WD 3.5L V6 EcoBoost High Output For sale at Anderson & Koch Ford in North Branch Minnesota.	https://media-cdn-tango.jazelc.com/media/318371237	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMJU1MG2VEA28491	https://www.andersonandkochford.com/vehicle/1FMJU1MG2VEA28491/2027-Ford-Expedition-North_Branch-MN/123?store={store_code}	WHITE	0 miles	Expedition	1FMJU1MG2VEA28491	2027	84446 USD	04229513139877848249	84446 USD	MI
