id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit	custom_label_0
4T1BK1EB2HU248995	2017 Toyota Avalon	Toyota	https://www.carlsontoyota.com/inventory/certified-used-2017-toyota-avalon-fwd-4-dr-touring-4t1bk1eb2hu248995/	22524 USD	2017 MAGNETIC GRAY MET. Toyota Avalon Used 2017 Toyota Avalon 4-DR TOURING For sale at Carlson Toyota in Coon Rapids Minnesota.	https://www.carlsontoyota.com/wp-content/plugins/inventory/images/notfound.jpg	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	4T1BK1EB2HU248995	https://www.carlsontoyota.com/inventory/certified-used-2017-toyota-avalon-fwd-4-dr-touring-4t1bk1eb2hu248995/123?store={store_code}	GRAY	70045 miles	Avalon	4T1BK1EB2HU248995	2017	22524 USD	CT100	22524 USD	MI	Avalon
5YFB4MDE3RP111669	2024 Toyota Corolla LE	Toyota	https://www.carlsontoyota.com/inventory/certified-used-2024-toyota-corolla-le-fwd-4d-sedan-5yfb4mde3rp111669/	22178 USD	2024 Toyota Corolla Used 2024 Toyota Corolla LE 4D Sedan 2.0L I4 DOHC 16V For sale at Carlson Toyota in Coon Rapids Minnesota.	https://vehicle-images.carscommerce.inc/fdf1-110008693/5YFB4MDE3RP111669/thumbnails/large/9cda98de8c591e1ac931f41d6b297667.webp	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	5YFB4MDE3RP111669	https://www.carlsontoyota.com/inventory/certified-used-2024-toyota-corolla-le-fwd-4d-sedan-5yfb4mde3rp111669/123?store={store_code}	NA	55444 miles	Corolla	5YFB4MDE3RP111669	2024	22178 USD	CT100	22178 USD	MI	Corolla
5YFB4MDE5RP156239	2024 Toyota Corolla LE	Toyota	https://www.carlsontoyota.com/inventory/certified-used-2024-toyota-corolla-le-fwd-4d-sedan-5yfb4mde5rp156239/	21898 USD	2024 Toyota Corolla Used 2024 Toyota Corolla LE 4D Sedan 2.0L I4 DOHC 16V For sale at Carlson Toyota in Coon Rapids Minnesota.	https://vehicle-images.carscommerce.inc/4b17-110008693/5YFB4MDE5RP156239/thumbnails/large/0a4a98650cc9e2ee42642f1ffaf14dee.webp	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	5YFB4MDE5RP156239	https://www.carlsontoyota.com/inventory/certified-used-2024-toyota-corolla-le-fwd-4d-sedan-5yfb4mde5rp156239/123?store={store_code}	NA	58007 miles	Corolla	5YFB4MDE5RP156239	2024	21898 USD	CT100	21898 USD	MI	Corolla
4T1DAACKXSU010012	2025 Toyota Camry SE	Toyota	https://www.carlsontoyota.com/inventory/certified-used-2025-toyota-camry-se-fwd-4d-sedan-4t1daackxsu010012/	28272 USD	2025 Toyota Camry Used 2025 Toyota Camry SE 4D Sedan 2.5L 4-Cylinder 16V DOHC For sale at Carlson Toyota in Coon Rapids Minnesota.	https://vehicle-images.carscommerce.inc/4a08-110008693/4T1DAACKXSU010012/thumbnails/large/8b90ff65f0120e285d68d951fd365734.webp	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	4T1DAACKXSU010012	https://www.carlsontoyota.com/inventory/certified-used-2025-toyota-camry-se-fwd-4d-sedan-4t1daackxsu010012/123?store={store_code}	NA	55669 miles	Camry	4T1DAACKXSU010012	2025	28272 USD	CT100	28272 USD	MI	Camry
2T3P1RFV3SW568941	2025 Toyota RAV4 XLE	Toyota	https://www.carlsontoyota.com/inventory/certified-used-2025-toyota-rav4-xle-awd-4d-sport-utility-2t3p1rfv3sw568941/	32891 USD	2025 Toyota RAV4 Used 2025 Toyota RAV4 XLE 4D Sport Utility 2.5L 4-Cylinder DOHC Dual VVT-i For sale at Carlson Toyota in Coon Rapids Minnesota.	https://vehicle-images.carscommerce.inc/77d1-110008693/2T3P1RFV3SW568941/thumbnails/large/cd2e6047cd457aa58c956f17a939365b.webp	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	2T3P1RFV3SW568941	https://www.carlsontoyota.com/inventory/certified-used-2025-toyota-rav4-xle-awd-4d-sport-utility-2t3p1rfv3sw568941/123?store={store_code}	NA	37416 miles	RAV4	2T3P1RFV3SW568941	2025	32891 USD	CT100	32891 USD	MI	RAV4
5TDYRKEC8SS242994	2025 Toyota Sienna	Toyota	https://www.carlsontoyota.com/inventory/certified-used-2025-toyota-sienna-fwd-8-passenger-5tdyrkec8ss242994/	44402 USD	2025 DK. BLUE MC. Toyota Sienna Used 2025 Toyota Sienna 8 PASSENGER For sale at Carlson Toyota in Coon Rapids Minnesota.	https://vehicle-images.carscommerce.inc/c2e7-110008693/5TDYRKEC8SS242994/thumbnails/large/4160072fbaeaf46c9e9e13aac2bc7b4d.webp	in stock	USED	VAN	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	5TDYRKEC8SS242994	https://www.carlsontoyota.com/inventory/certified-used-2025-toyota-sienna-fwd-8-passenger-5tdyrkec8ss242994/123?store={store_code}	BLUE	35687 miles	Sienna	5TDYRKEC8SS242994	2025	44402 USD	CT100	44402 USD	MI	Sienna
JTEVB5BR1T5059859	2026 Toyota 4Runner i-FORCE MAX 4Runner TRD Pro	Toyota	https://www.carlsontoyota.com/inventory/new-2026-toyota-4runner-i-force-max-4runner-trd-pro-part-time-4-wheel-drive-4wd-trd-pro-jtevb5br1t5059859/	74398 USD	2026 Wave Maker 1 Toyota 4Runner i-FORCE MAX New 2026 Toyota 4Runner i-FORCE MAX 4Runner TRD Pro 4WD TRD Pro i-FORCE MAX 2.4L 4-Cyl. Turbo Hybrid Powertrain For sale at Carlson Toyota in Coon Rapids Minnesota.	https://delivery.via.assetscs.toyota.com/adobe/assets/urn:aaid:aem:d8d3b664-3a8d-4470-aa48-1ae1458d7119/as/image.png?fmt=png-alpha,rgb,none	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JTEVB5BR1T5059859	https://www.carlsontoyota.com/inventory/new-2026-toyota-4runner-i-force-max-4runner-trd-pro-part-time-4-wheel-drive-4wd-trd-pro-jtevb5br1t5059859/123?store={store_code}	NA	0 miles	4Runner i-FORCE MAX	JTEVB5BR1T5059859	2026	74398 USD	CT100	74398 USD	MI	4Runner i-FORCE MAX
JTEVA5BR8T5171772	2026 Toyota 4Runner SR5	Toyota	https://www.carlsontoyota.com/inventory/new-2026-toyota-4runner-sr5-part-time-4-wheel-drive-4wd-sr5-jteva5br8t5171772/	47353 USD	2026 Underground Toyota 4Runner New 2026 Toyota 4Runner SR5 4WD SR5 i-FORCE 2.4L 4-Cyl. Turbo For sale at Carlson Toyota in Coon Rapids Minnesota.	https://delivery.via.assetscs.toyota.com/adobe/assets/urn:aaid:aem:1349b1f2-096b-4ac6-81c0-f38d59219bf1/as/image.png?fmt=png-alpha,rgb,none	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JTEVA5BR8T5171772	https://www.carlsontoyota.com/inventory/new-2026-toyota-4runner-sr5-part-time-4-wheel-drive-4wd-sr5-jteva5br8t5171772/123?store={store_code}	NA	0 miles	4Runner	JTEVA5BR8T5171772	2026	47353 USD	CT100	47353 USD	MI	4Runner
JTEVA5BRXT5164810	2026 Toyota 4Runner TRD Off-Road Premium	Toyota	https://www.carlsontoyota.com/inventory/new-2026-toyota-4runner-trd-off-road-premium-part-time-4-wheel-drive-4wd-trd-off-rd-prem-jteva5brxt5164810/	61528 USD	2026 Underground Toyota 4Runner New 2026 Toyota 4Runner TRD Off-Road Premium 4WD TRD OFF-RD PREM i-FORCE 2.4L 4-Cyl. Turbo For sale at Carlson Toyota in Coon Rapids Minnesota.	https://delivery.via.assetscs.toyota.com/adobe/assets/urn:aaid:aem:b46b4600-d940-45b8-a155-dc91521e5971/as/image.png?fmt=png-alpha,rgb,none	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JTEVA5BRXT5164810	https://www.carlsontoyota.com/inventory/new-2026-toyota-4runner-trd-off-road-premium-part-time-4-wheel-drive-4wd-trd-off-rd-prem-jteva5brxt5164810/123?store={store_code}	NA	0 miles	4Runner	JTEVA5BRXT5164810	2026	61528 USD	CT100	61528 USD	MI	4Runner
JTEVA5BR9T5163065	2026 Toyota 4Runner TRD Sport Premium	Toyota	https://www.carlsontoyota.com/inventory/new-2026-toyota-4runner-trd-sport-premium-part-time-4-wheel-drive-4wd-trd-sport-prem-jteva5br9t5163065/	59533 USD	2026 Underground Toyota 4Runner New 2026 Toyota 4Runner TRD Sport Premium 4WD TRD SPORT PREM i-FORCE 2.4L 4-Cyl. Turbo For sale at Carlson Toyota in Coon Rapids Minnesota.	https://vehicle-images.carscommerce.inc/5e62-110008693/JTEVA5BR9T5163065/9011747f0eacb7f28770373e081197c7.webp	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JTEVA5BR9T5163065	https://www.carlsontoyota.com/inventory/new-2026-toyota-4runner-trd-sport-premium-part-time-4-wheel-drive-4wd-trd-sport-prem-jteva5br9t5163065/123?store={store_code}	NA	0 miles	4Runner	JTEVA5BR9T5163065	2026	59533 USD	CT100	59533 USD	MI	4Runner
JTMBGAHB3TY619617	2026 Toyota bZ Woodland	Toyota	https://www.carlsontoyota.com/inventory/new-2026-toyota-bz-woodland-all-wheel-drive-premium-awd-jtmbgahb3ty619617/	49510 USD	2026 Raven Toyota bZ Woodland New 2026 Toyota bZ Woodland Premium AWD Dual Electric Motors For sale at Carlson Toyota in Coon Rapids Minnesota.	https://vehicle-images.carscommerce.inc/35f9-110008693/JTMBGAHB3TY619617/298435c128001dd6702cfe108d7f47f6.webp	in stock	NEW	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JTMBGAHB3TY619617	https://www.carlsontoyota.com/inventory/new-2026-toyota-bz-woodland-all-wheel-drive-premium-awd-jtmbgahb3ty619617/123?store={store_code}	NA	0 miles	bZ Woodland	JTMBGAHB3TY619617	2026	49510 USD	CT100	49510 USD	MI	bZ Woodland
JTMAAAAD2TJ027255	2026 Toyota C-HR XSE	Toyota	https://www.carlsontoyota.com/inventory/new-2026-toyota-c-hr-xse-all-wheel-drive-xse-awd-jtmaaaad2tj027255/	43669 USD	2026 Tandoori Toyota C-HR New 2026 Toyota C-HR XSE XSE AWD Dual Electric Motors For sale at Carlson Toyota in Coon Rapids Minnesota.	https://vehicle-images.carscommerce.inc/98b6-110008693/JTMAAAAD2TJ027255/ccb32b51ac035c05ef906de5ac0cf343.webp	in stock	NEW	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JTMAAAAD2TJ027255	https://www.carlsontoyota.com/inventory/new-2026-toyota-c-hr-xse-all-wheel-drive-xse-awd-jtmaaaad2tj027255/123?store={store_code}	NA	0 miles	C-HR	JTMAAAAD2TJ027255	2026	43669 USD	CT100	43669 USD	MI	C-HR
