id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit
1FM5K8GCXLGB74454	2020 Ford Explorer ST	Ford	https://www.dahlchevroletgmcwinona.com/inventory/used-2020-ford-explorer-st-4-wheel-drive-suv-1fm5k8gcxlgb74454/	19749 USD	2020 Ford Explorer Used 2020 Ford Explorer ST SUV For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/4a2a-110010023/1FM5K8GCXLGB74454/thumbnails/large/220164a217918bb12d2f2d82e6b59002.webp	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FM5K8GCXLGB74454	https://www.dahlchevroletgmcwinona.com/inventory/used-2020-ford-explorer-st-4-wheel-drive-suv-1fm5k8gcxlgb74454/123?store={store_code}	NA	128295 miles	Explorer	1FM5K8GCXLGB74454	2020	19749 USD	CBGMC	19749 USD	MI
1C6SRFJT9MN595635	2021 Ram 1500 Laramie	Ram	https://www.dahlchevroletgmcwinona.com/inventory/used-2021-ram-1500-laramie-4-wheel-drive-crew-pickup-1c6srfjt9mn595635/	29749 USD	2021 Ram 1500 Used 2021 Ram 1500 Laramie Crew Pickup For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://www.dahlchevroletgmcwinona.com/wp-content/plugins/inventory/images/notfound.jpg	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6SRFJT9MN595635	https://www.dahlchevroletgmcwinona.com/inventory/used-2021-ram-1500-laramie-4-wheel-drive-crew-pickup-1c6srfjt9mn595635/123?store={store_code}	NA	126733 miles	1500	1C6SRFJT9MN595635	2021	29749 USD	CBGMC	29749 USD	MI
JTEKU5JR1N6076348	2022 Toyota 4Runner Limited	Toyota	https://www.dahlchevroletgmcwinona.com/inventory/used-2022-toyota-4runner-limited-4-wheel-drive-utility-jteku5jr1n6076348/	45749 USD	2022 Toyota 4Runner Used 2022 Toyota 4Runner Limited Utility For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://www.dahlchevroletgmcwinona.com/wp-content/plugins/inventory/images/notfound.jpg	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JTEKU5JR1N6076348	https://www.dahlchevroletgmcwinona.com/inventory/used-2022-toyota-4runner-limited-4-wheel-drive-utility-jteku5jr1n6076348/123?store={store_code}	NA	13872 miles	4Runner	JTEKU5JR1N6076348	2022	45749 USD	CBGMC	45749 USD	MI
4A3AE45G85E032088	2005 Mitsubishi Eclipse GS	Mitsubishi	https://www.dahlchevroletgmcwinona.com/inventory/used-2005-mitsubishi-eclipse-gs-front-wheel-drive-2-door-convertible-4a3ae45g85e032088/	5700 USD	2005 Mitsubishi Eclipse Used 2005 Mitsubishi Eclipse GS 2 Door Convertible FWD 4 Cylinder For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/9fce-110010023/4A3AE45G85E032088/thumbnails/large/f94ccfcd43413528e54d4f2e39ff85c4.webp	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	4A3AE45G85E032088	https://www.dahlchevroletgmcwinona.com/inventory/used-2005-mitsubishi-eclipse-gs-front-wheel-drive-2-door-convertible-4a3ae45g85e032088/123?store={store_code}	NA	100794 miles	Eclipse	4A3AE45G85E032088	2005	5700 USD	CBGMC	5700 USD	MI
1FTEW1EG2HFB31195	2017 Ford F-150 XL	Ford	https://www.dahlchevroletgmcwinona.com/inventory/used-2017-ford-f-150-xl-4-wheel-drive-crew-pickup-1ftew1eg2hfb31195/	20249 USD	2017 Black Ford F-150 Used 2017 Ford F-150 XL Crew Pickup For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/5bab-110010023/1FTEW1EG2HFB31195/thumbnails/large/d2ddbfe004a59e1a698a1b3e2901a5af.webp	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTEW1EG2HFB31195	https://www.dahlchevroletgmcwinona.com/inventory/used-2017-ford-f-150-xl-4-wheel-drive-crew-pickup-1ftew1eg2hfb31195/123?store={store_code}	BLACK	114093 miles	F-150	1FTEW1EG2HFB31195	2017	20249 USD	CBGMC	20249 USD	MI
2HKRW2H86HH601729	2017 Honda CR-V EX-L	Honda	https://www.dahlchevroletgmcwinona.com/inventory/used-2017-honda-cr-v-ex-l-all-wheel-drive-sport-utility-2hkrw2h86hh601729/	18685 USD	2017 Honda CR-V Used 2017 Honda CR-V EX-L Sport Utility AWD 4 Cylinder For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/8df0-110010023/2HKRW2H86HH601729/thumbnails/large/82464f8e2509461231c998de2bb16078.webp	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	2HKRW2H86HH601729	https://www.dahlchevroletgmcwinona.com/inventory/used-2017-honda-cr-v-ex-l-all-wheel-drive-sport-utility-2hkrw2h86hh601729/123?store={store_code}	NA	80709 miles	CR-V	2HKRW2H86HH601729	2017	18685 USD	CBGMC	18685 USD	MI
2T3DFREV3HW580599	2017 Toyota RAV4 Limited	Toyota	https://www.dahlchevroletgmcwinona.com/inventory/used-2017-toyota-rav4-limited-all-wheel-drive-sport-utility-2t3dfrev3hw580599/	19990 USD	2017 Galactic Aqua Mica Toyota RAV4 Used 2017 Toyota RAV4 Limited Sport Utility AWD 4 Cylinder For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/14d6-110010023/2T3DFREV3HW580599/thumbnails/large/cf9a28d41239c46062fdd5cf0ca8f033.webp	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	2T3DFREV3HW580599	https://www.dahlchevroletgmcwinona.com/inventory/used-2017-toyota-rav4-limited-all-wheel-drive-sport-utility-2t3dfrev3hw580599/123?store={store_code}	NA	126095 miles	RAV4	2T3DFREV3HW580599	2017	19990 USD	CBGMC	19990 USD	MI
JTDL9RFU7L3021609	2020 Toyota Prius XLE AWD-e	Toyota	https://www.dahlchevroletgmcwinona.com/inventory/used-2020-toyota-prius-xle-awd-e-jtdl9rfu7l3021609/	23500 USD	2020 Midnight Black Metallic Toyota Prius Used 2020 Toyota Prius XLE AWD-e For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/9e1a-110010023/JTDL9RFU7L3021609/thumbnails/large/1d0400c2021776d7a1d6d3d3ba848596.webp	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JTDL9RFU7L3021609	https://www.dahlchevroletgmcwinona.com/inventory/used-2020-toyota-prius-xle-awd-e-jtdl9rfu7l3021609/123?store={store_code}	BLACK	71284 miles	Prius	JTDL9RFU7L3021609	2020	23500 USD	CBGMC	23500 USD	MI
1GC1YLE79MF182692	2021 Chevrolet Silverado 2500 HD Work Truck	Chevrolet	https://www.dahlchevroletgmcwinona.com/inventory/used-2021-chevrolet-silverado-2500-hd-work-truck-four-wheel-drive-crew-cab-1gc1yle79mf182692/	28249 USD	2021 Chevrolet Silverado 2500 HD Used 2021 Chevrolet Silverado 2500 HD Work Truck Crew Cab 4WD Engine: 6.6L, V-8, SIDI For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/aaec-110010023/1GC1YLE79MF182692/thumbnails/large/26be8f33fb7f454b5034fa39bc754971.webp	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1GC1YLE79MF182692	https://www.dahlchevroletgmcwinona.com/inventory/used-2021-chevrolet-silverado-2500-hd-work-truck-four-wheel-drive-crew-cab-1gc1yle79mf182692/123?store={store_code}	NA	101596 miles	Silverado 2500 HD	1GC1YLE79MF182692	2021	28249 USD	CBGMC	28249 USD	MI
1C6JJTBG1ML596342	2021 Jeep Gladiator Rubicon	Jeep	https://www.dahlchevroletgmcwinona.com/inventory/used-2021-jeep-gladiator-rubicon-4-wheel-drive-pickup-1c6jjtbg1ml596342/	24249 USD	2021 Green Jeep Gladiator Used 2021 Jeep Gladiator Rubicon Pickup For sale at DAHL Chevrolet Buick GMC in Winona Minnesota.	https://vehicle-images.carscommerce.inc/e69e-110010023/1C6JJTBG1ML596342/thumbnails/large/4bd0ee7def9db9ce06df59c04d1e3f31.webp	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6JJTBG1ML596342	https://www.dahlchevroletgmcwinona.com/inventory/used-2021-jeep-gladiator-rubicon-4-wheel-drive-pickup-1c6jjtbg1ml596342/123?store={store_code}	GREEN	130504 miles	Gladiator	1C6JJTBG1ML596342	2021	24249 USD	CBGMC	24249 USD	MI
