id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit	certified_pre_owned	custom_label_0
1FTFW1RG3TFC25822	2026 Ford F-150 Raptor	Ford	https://furymotors.com/for-sale/ford-f150-raptor-minneapolis-mn/2026-ford-f150-raptor-1ftfw1rg3tfc25822/	81482 USD	2026 Hk Ford F-150 Raptor 3.5L V6 EcoBoost High Output For sale at Fury Ford Waconia in Waconia Minnesota.	https://vimg.remora.inc/604230/1ftfw1rg3tfc25822-2026-ford-f150-raptor-hk-1-113962.avif	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTFW1RG3TFC25822	https://furymotors.com/for-sale/ford-f150-raptor-minneapolis-mn/2026-ford-f150-raptor-1ftfw1rg3tfc25822/123?store={store_code}	NA	10 miles	F-150	1FTFW1RG3TFC25822	2026	81482 USD	WF1122	81482 USD	MI	no	New
1FTEW1EP8PKF15956	2023 Ford F-150 XLT Sport w/Trailer Tow Pkg	Ford	https://furymotors.com/for-sale/used-ford-f150-xlt-sport-wtrailer-tow-pkg-minneapolis-mn/2023-ford-f150-xlt-sport-wtrailer-tow-pkg-1ftew1ep8pkf15956/	34500 USD	2023 Avalanche Ford F-150 XLT Sport w/Trailer Tow Pkg 2.7L V6 EcoBoost For sale at Fury Ford Waconia in Waconia Minnesota.	https://vimg.remora.inc/539206/1ftew1ep8pkf15956-2023-ford-f150-xlt-avalanche-1-113153.avif	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTEW1EP8PKF15956	https://furymotors.com/for-sale/used-ford-f150-xlt-sport-wtrailer-tow-pkg-minneapolis-mn/2023-ford-f150-xlt-sport-wtrailer-tow-pkg-1ftew1ep8pkf15956/123?store={store_code}	NA	36723 miles	F-150	1FTEW1EP8PKF15956	2023	34500 USD	WF1122	34500 USD	MI	no	Used
1FT8W3BT3SED83822	2025 Ford Super Duty F-350 SRW Lariat w/ Preferred Equipt & 5th Wheel Prep	Ford	https://furymotors.com/for-sale/used-ford-super-duty-f350-srw-lariat-w-preferred-equipt-5th-wheel-prep-minneapolis-mn/2025-ford-super-duty-f350-srw-lariat-w-preferred-equipt-5th-wheel-prep-1ft8w3bt3sed83822/	69350 USD	2025 Avalanche Ford Super Duty F-350 SRW Lariat w/ Preferred Equipt & 5th Wheel Prep Power Stroke 6.7L V8 DI 32V OHV Turbodiesel For sale at Fury Ford Waconia in Waconia Minnesota.	https://vimg.remora.inc/544875/1ft8w3bt3sed83822-2025-ford-super-duty-f350-srw-lariat-w-preferred-equipt-5th-wheel-prep-avalanche-1-112974.avif	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FT8W3BT3SED83822	https://furymotors.com/for-sale/used-ford-super-duty-f350-srw-lariat-w-preferred-equipt-5th-wheel-prep-minneapolis-mn/2025-ford-super-duty-f350-srw-lariat-w-preferred-equipt-5th-wheel-prep-1ft8w3bt3sed83822/123?store={store_code}	NA	21702 miles	Super Duty F-350	1FT8W3BT3SED83822	2025	69350 USD	WF1122	69350 USD	MI	no	Used
1C4HJXFNXJW185698	2018 Jeep Wrangler Unlimited Rubicon	Jeep	https://furymotors.com/for-sale/used-jeep-wrangler-unlimited-rubicon-minneapolis-mn/2018-jeep-wrangler-unlimited-rubicon-1c4hjxfnxjw185698/	21350 USD	2018 Punkn Metallic Clearcoat Jeep Wrangler Unlimited Rubicon 2.0L I4 DOHC For sale at Fury Ford Waconia in Waconia Minnesota.	https://vimg.remora.inc/592019/1c4hjxfnxjw185698-2018-jeep-wrangler-unlimited-rubicon-punkn-metallic-clearcoat-1-113782.avif	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4HJXFNXJW185698	https://furymotors.com/for-sale/used-jeep-wrangler-unlimited-rubicon-minneapolis-mn/2018-jeep-wrangler-unlimited-rubicon-1c4hjxfnxjw185698/123?store={store_code}	NA	125370 miles	Wrangler	1C4HJXFNXJW185698	2018	21350 USD	WF1122	21350 USD	MI	no	Used
3FMCR9A67NRD26729	2022 Ford Bronco Sport Base Blue Certified	Ford	https://furymotors.com/for-sale/certified-ford-bronco-sport-base-blue-certified-minneapolis-mn/2022-ford-bronco-sport-base-blue-certified-3fmcr9a67nrd26729/	18850 USD	2022 Iconic Silver Metallic Ford Bronco Sport Base Blue Certified 1.5L EcoBoost For sale at Fury Ford Waconia in Waconia Minnesota.	https://vimg.remora.inc/605125/3fmcr9a67nrd26729-2022-ford-bronco-sport-base-blue-certified-iconic-silver-metallic-1-113988.avif	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3FMCR9A67NRD26729	https://furymotors.com/for-sale/certified-ford-bronco-sport-base-blue-certified-minneapolis-mn/2022-ford-bronco-sport-base-blue-certified-3fmcr9a67nrd26729/123?store={store_code}	SILVER	71813 miles	Bronco Sport	3FMCR9A67NRD26729	2022	18850 USD	WF1122	18850 USD	MI	no	Used
1FMCU9JA4SUA73862	2025 Ford Escape Platinum Gold Certified	Ford	https://furymotors.com/for-sale/certified-ford-escape-platinum-gold-certified-minneapolis-mn/2025-ford-escape-platinum-gold-certified-1fmcu9ja4sua73862/	25350 USD	2025 Agate Black Metallic Ford Escape Platinum Gold Certified EcoBoost 2.0L I4 GTDi DOHC Turbocharged VCT For sale at Fury Ford Waconia in Waconia Minnesota.	https://vimg.remora.inc/544876/1fmcu9ja4sua73862-2025-ford-escape-platinum-gold-certified-agate-black-metallic-1-113963.avif	in stock	USED	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FMCU9JA4SUA73862	https://furymotors.com/for-sale/certified-ford-escape-platinum-gold-certified-minneapolis-mn/2025-ford-escape-platinum-gold-certified-1fmcu9ja4sua73862/123?store={store_code}	BLACK	29782 miles	Escape	1FMCU9JA4SUA73862	2025	25350 USD	WF1122	25350 USD	MI	no	Used
1FTFW5L5XRFB59552	2024 Ford F-150 Lariat Blue Certified	Ford	https://furymotors.com/for-sale/certified-ford-f150-lariat-blue-certified-minneapolis-mn/2024-ford-f150-lariat-blue-certified-1ftfw5l5xrfb59552/	51350 USD	2024 Rapid Red Metallic Tinted Clearcoat Ford F-150 Lariat Blue Certified 5.0L V8 For sale at Fury Ford Waconia in Waconia Minnesota.	https://vimg.remora.inc/601324/1ftfw5l5xrfb59552-2024-ford-f150-lariat-blue-certified-rapid-red-metallic-tinted-clearcoat-1-113964.avif	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTFW5L5XRFB59552	https://furymotors.com/for-sale/certified-ford-f150-lariat-blue-certified-minneapolis-mn/2024-ford-f150-lariat-blue-certified-1ftfw5l5xrfb59552/123?store={store_code}	RED	45396 miles	F-150	1FTFW5L5XRFB59552	2024	51350 USD	WF1122	51350 USD	MI	no	Used
1FTFW5LD5RFA17942	2024 Ford F-150 Lariat Gold Certified w/Black Appearance	Ford	https://furymotors.com/for-sale/certified-ford-f150-lariat-gold-certified-wblack-appearance-minneapolis-mn/2024-ford-f150-lariat-gold-certified-wblack-appearance-1ftfw5ld5rfa17942/	48500 USD	2024 Agate Black Metallic Ford F-150 Lariat Gold Certified w/Black Appearance 3.5L PowerBoost Full-Hybrid V6 For sale at Fury Ford Waconia in Waconia Minnesota.	https://vimg.remora.inc/566595/1ftfw5ld5rfa17942-2024-ford-f150-lariat-gold-certified-wblack-appearance-agate-black-metallic-1-113734.avif	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTFW5LD5RFA17942	https://furymotors.com/for-sale/certified-ford-f150-lariat-gold-certified-wblack-appearance-minneapolis-mn/2024-ford-f150-lariat-gold-certified-wblack-appearance-1ftfw5ld5rfa17942/123?store={store_code}	BLACK	28612 miles	F-150	1FTFW5LD5RFA17942	2024	48500 USD	WF1122	48500 USD	MI	no	Used
1FTEW1EP7PFC72195	2023 Ford F-150 Lariat Sport Gold Certified	Ford	https://furymotors.com/for-sale/certified-ford-f150-lariat-sport-gold-certified-minneapolis-mn/2023-ford-f150-lariat-sport-gold-certified-1ftew1ep7pfc72195/	42350 USD	2023 Oxford White Ford F-150 Lariat Sport Gold Certified 2.7L V6 EcoBoost For sale at Fury Ford Waconia in Waconia Minnesota.	https://vimg.remora.inc/277427/1ftew1ep7pfc72195-2023-ford-f150-lariat-sport-gold-certified-oxford-white-1-113974.avif	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTEW1EP7PFC72195	https://furymotors.com/for-sale/certified-ford-f150-lariat-sport-gold-certified-minneapolis-mn/2023-ford-f150-lariat-sport-gold-certified-1ftew1ep7pfc72195/123?store={store_code}	WHITE	34143 miles	F-150	1FTEW1EP7PFC72195	2023	42350 USD	WF1122	42350 USD	MI	no	Used
1FTEW2LP2RKE47407	2024 Ford F-150 STX Gold Certified w/Black Appearance Pkg	Ford	https://furymotors.com/for-sale/certified-ford-f150-stx-gold-certified-wblack-appearance-pkg-minneapolis-mn/2024-ford-f150-stx-gold-certified-wblack-appearance-pkg-1ftew2lp2rke47407/	38350 USD	2024 Agate Black Metallic Ford F-150 STX Gold Certified w/Black Appearance Pkg 2.7L V6 EcoBoost For sale at Fury Ford Waconia in Waconia Minnesota.	https://vimg.remora.inc/593127/1ftew2lp2rke47407-2024-ford-f150-stx-gold-certified-wblack-appearance-pkg-agate-black-metallic-1-113974.avif	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTEW2LP2RKE47407	https://furymotors.com/for-sale/certified-ford-f150-stx-gold-certified-wblack-appearance-pkg-minneapolis-mn/2024-ford-f150-stx-gold-certified-wblack-appearance-pkg-1ftew2lp2rke47407/123?store={store_code}	BLACK	23961 miles	F-150	1FTEW2LP2RKE47407	2024	38350 USD	WF1122	38350 USD	MI	no	Used
