id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit
2C3CDANP3TR287684	2026 Dodge Charger R/T	Dodge	https://furymotors.com/for-sale/dodge-charger-rt-minneapolis-mn/2026-dodge-charger-rt-2c3cdanp3tr287684/	48876 USD	2026 Redeye Dodge Charger R/T 3.0L I6 Turbocharged DOHC 24V LEV3-ULEV70 420hp For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/413717/2c3cdanp3tr287684-2026-dodge-charger-rt-redeye-1-112059.avif	in stock	NEW	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	2C3CDANP3TR287684	https://furymotors.com/for-sale/dodge-charger-rt-minneapolis-mn/2026-dodge-charger-rt-2c3cdanp3tr287684/123?store={store_code}	NA	826 miles	Charger	2C3CDANP3TR287684	2026	48876 USD	26817	48876 USD	MI
1C6PJTAG1TL161640	2026 Jeep Gladiator Sport S	Jeep	https://furymotors.com/for-sale/jeep-gladiator-sport-s-minneapolis-mn/2026-jeep-gladiator-sport-s-1c6pjtag1tl161640/	49147 USD	2026 Reign Jeep Gladiator Sport S 3.6L V6 24V VVT For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/424678/1c6pjtag1tl161640-2026-jeep-gladiator-sport-s-reign-1-112059.avif	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6PJTAG1TL161640	https://furymotors.com/for-sale/jeep-gladiator-sport-s-minneapolis-mn/2026-jeep-gladiator-sport-s-1c6pjtag1tl161640/123?store={store_code}	NA	10 miles	Gladiator	1C6PJTAG1TL161640	2026	49147 USD	26817	49147 USD	MI
1C6PJTAG2TL163235	2026 Jeep Gladiator Sport S	Jeep	https://furymotors.com/for-sale/jeep-gladiator-sport-s-minneapolis-mn/2026-jeep-gladiator-sport-s-1c6pjtag2tl163235/	43569 USD	2026 Anvil Clearcoat Jeep Gladiator Sport S 3.6L V6 24V VVT For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/167831/1c6pjtag2tl163235-2026-jeep-gladiator-sport-s-anvil-clearcoat-1-109455.avif	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6PJTAG2TL163235	https://furymotors.com/for-sale/jeep-gladiator-sport-s-minneapolis-mn/2026-jeep-gladiator-sport-s-1c6pjtag2tl163235/123?store={store_code}	NA	10 miles	Gladiator	1C6PJTAG2TL163235	2026	43569 USD	26817	43569 USD	MI
1C4PJXFN4TW312802	2026 Jeep Wrangler Rubicon	Jeep	https://furymotors.com/for-sale/jeep-wrangler-rubicon-minneapolis-mn/2026-jeep-wrangler-rubicon-1c4pjxfn4tw312802/	54528 USD	2026 Reign Jeep Wrangler Rubicon 2.0L I4 DOHC For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/424914/1c4pjxfn4tw312802-2026-jeep-wrangler-rubicon-reign-1-111303.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4PJXFN4TW312802	https://furymotors.com/for-sale/jeep-wrangler-rubicon-minneapolis-mn/2026-jeep-wrangler-rubicon-1c4pjxfn4tw312802/123?store={store_code}	NA	8 miles	Wrangler	1C4PJXFN4TW312802	2026	54528 USD	26817	54528 USD	MI
1C4PJXCN6TW312790	2026 Jeep Wrangler Rubicon X	Jeep	https://furymotors.com/for-sale/jeep-wrangler-rubicon-x-minneapolis-mn/2026-jeep-wrangler-rubicon-x-1c4pjxcn6tw312790/	58144 USD	2026 Reign Jeep Wrangler Rubicon X 2.0L I4 DOHC For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/450048/1c4pjxcn6tw312790-2026-jeep-wrangler-rubicon-x-reign-1-112059.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4PJXCN6TW312790	https://furymotors.com/for-sale/jeep-wrangler-rubicon-x-minneapolis-mn/2026-jeep-wrangler-rubicon-x-1c4pjxcn6tw312790/123?store={store_code}	NA	10 miles	Wrangler	1C4PJXCN6TW312790	2026	58144 USD	26817	58144 USD	MI
1C4PJXEG1TW311433	2026 Jeep Wrangler Sahara	Jeep	https://furymotors.com/for-sale/jeep-wrangler-sahara-minneapolis-mn/2026-jeep-wrangler-sahara-1c4pjxeg1tw311433/	53175 USD	2026 Reign Jeep Wrangler Sahara 3.6L V6 24V VVT For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/534552/1c4pjxeg1tw311433-2026-jeep-wrangler-sahara-reign-1-113082.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4PJXEG1TW311433	https://furymotors.com/for-sale/jeep-wrangler-sahara-minneapolis-mn/2026-jeep-wrangler-sahara-1c4pjxeg1tw311433/123?store={store_code}	NA	10 miles	Wrangler	1C4PJXEG1TW311433	2026	53175 USD	26817	53175 USD	MI
1C4PJXDG5TW256292	2026 Jeep Wrangler Sport S	Jeep	https://furymotors.com/for-sale/jeep-wrangler-sport-s-minneapolis-mn/2026-jeep-wrangler-sport-s-1c4pjxdg5tw256292/	44935 USD	2026 Anvil Clear Coat Jeep Wrangler Sport S 3.6L V6 24V VVT For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/374611/1c4pjxdg5tw256292-2026-jeep-wrangler-sport-s-anvil-clear-coat-1-110253.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4PJXDG5TW256292	https://furymotors.com/for-sale/jeep-wrangler-sport-s-minneapolis-mn/2026-jeep-wrangler-sport-s-1c4pjxdg5tw256292/123?store={store_code}	NA	11 miles	Wrangler	1C4PJXDG5TW256292	2026	44935 USD	26817	44935 USD	MI
1C4PJXDN3TW319274	2026 Jeep Wrangler Sport S	Jeep	https://furymotors.com/for-sale/jeep-wrangler-sport-s-minneapolis-mn/2026-jeep-wrangler-sport-s-1c4pjxdn3tw319274/	43694 USD	2026 Tuscadero Pearlcoat Jeep Wrangler Sport S 2.0L I4 DOHC For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/440777/1c4pjxdn3tw319274-2026-jeep-wrangler-sport-s-tuscadero-pearlcoat-1-111767.avif	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C4PJXDN3TW319274	https://furymotors.com/for-sale/jeep-wrangler-sport-s-minneapolis-mn/2026-jeep-wrangler-sport-s-1c4pjxdn3tw319274/123?store={store_code}	NA	12 miles	Wrangler	1C4PJXDN3TW319274	2026	43694 USD	26817	43694 USD	MI
2C3CDZBT2NH196463	2022 Dodge Challenger R/T	Dodge	https://furymotors.com/for-sale/used-dodge-challenger-rt-minneapolis-mn/2022-dodge-challenger-rt-2c3cdzbt2nh196463/	35000 USD	2022 Go Mango! Dodge Challenger R/T HEMI 5.7L V8 VVT For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/578214/2c3cdzbt2nh196463-2022-dodge-challenger-rt-go-mango-1-113487.avif	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	2C3CDZBT2NH196463	https://furymotors.com/for-sale/used-dodge-challenger-rt-minneapolis-mn/2022-dodge-challenger-rt-2c3cdzbt2nh196463/123?store={store_code}	NA	5395 miles	Challenger	2C3CDZBT2NH196463	2022	35000 USD	26817	35000 USD	MI
1FTER4FHXMLD59375	2021 Ford Ranger XLT	Ford	https://furymotors.com/for-sale/used-ford-ranger-xlt-minneapolis-mn/2021-ford-ranger-xlt-1fter4fhxmld59375/	24850 USD	2021 Cactus Ford Ranger XLT EcoBoost 2.3L I4 GTDi DOHC Turbocharged VCT For sale at Fury Motors Stillwater in Stillwater Minnesota.	https://vimg.remora.inc/477103/1fter4fhxmld59375-2021-ford-ranger-xlt-cactus-1-113271.avif	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTER4FHXMLD59375	https://furymotors.com/for-sale/used-ford-ranger-xlt-minneapolis-mn/2021-ford-ranger-xlt-1fter4fhxmld59375/123?store={store_code}	NA	80081 miles	Ranger	1FTER4FHXMLD59375	2021	24850 USD	26817	24850 USD	MI
