id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit	certified_pre_owned	custom_label_0
KL79MUSL2TB297630	2026 Chevrolet Trailblazer RS	Chevrolet	https://www.mankatomotors.com/new/Chevrolet/2026-Chevrolet-Trailblazer-f60c53b4ac18490df754131422ef0ff0.htm	35370 USD	2026 Pearl Chevrolet Trailblazer RS 1.3L I3 Turbocharged DOHC 12V LEV3-SULEV30 155hp For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatochevrolet/0063/03d74d2b87c60a1fc52d77eec445ce63x.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	KL79MUSL2TB297630	https://www.mankatomotors.com/new/Chevrolet/2026-Chevrolet-Trailblazer-f60c53b4ac18490df754131422ef0ff0.htm?store={store_code}	NA	0 miles	Trailblazer	KL79MUSL2TB297630	2026	35370 USD	MM100	35370 USD	MI	no	New
1G1YB2D53V5102507	2027 Chevrolet Corvette Stingray	Chevrolet	https://www.mankatomotors.com/new/Chevrolet/2027-Chevrolet-Corvette-434ba884ac1827bd9540ac67c51f462d.htm	103440 USD	2027 Mist Chevrolet Corvette Stingray 6.7L V8 For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatochevrolet/1488/811700205e7611e011c5be9427b714b7x.jpg	in stock	NEW	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1G1YB2D53V5102507	https://www.mankatomotors.com/new/Chevrolet/2027-Chevrolet-Corvette-434ba884ac1827bd9540ac67c51f462d.htm?store={store_code}	NA	0 miles	Corvette	1G1YB2D53V5102507	2027	103440 USD	MM100	103440 USD	MI	no	New
3GNAXPEG3VL204629	2027 Chevrolet Equinox LT	Chevrolet	https://www.mankatomotors.com/new/Chevrolet/2027-Chevrolet-Equinox-901c2c17ac18004e1d0db14ed58a85eb.htm	37510 USD	2027 Autumn Chevrolet Equinox LT 1.5L DOHC For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatochevrolet/1081/33a229faf4ffb80d121097a4aab153f0x.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3GNAXPEG3VL204629	https://www.mankatomotors.com/new/Chevrolet/2027-Chevrolet-Equinox-901c2c17ac18004e1d0db14ed58a85eb.htm?store={store_code}	NA	0 miles	Equinox	3GNAXPEG3VL204629	2027	37510 USD	MM100	37510 USD	MI	no	New
5N1DR3DK9TC293478	2026 Nissan Pathfinder Platinum	Nissan	https://www.mankatomotors.com/new/Nissan/2026-Nissan-Pathfinder-85d22793ac183d20eebe8ad1e5b98c32.htm	55910 USD	2026 Teal Nissan Pathfinder Platinum 3.5L V6 DOHC For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatonissan/0058/970c245a0fd432755a6580de2ac66523x.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	5N1DR3DK9TC293478	https://www.mankatomotors.com/new/Nissan/2026-Nissan-Pathfinder-85d22793ac183d20eebe8ad1e5b98c32.htm?store={store_code}	NA	0 miles	Pathfinder	5N1DR3DK9TC293478	2026	55910 USD	MM100	55910 USD	MI	no	New
5N1DR3DK5TC293784	2026 Nissan Pathfinder Platinum	Nissan	https://www.mankatomotors.com/new/Nissan/2026-Nissan-Pathfinder-901dd9f0ac180486dccee4df8a17a138.htm	55910 USD	2026 Teal Nissan Pathfinder Platinum 3.5L V6 DOHC For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatonissan/0058/970c245a0fd432755a6580de2ac66523x.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	5N1DR3DK5TC293784	https://www.mankatomotors.com/new/Nissan/2026-Nissan-Pathfinder-901dd9f0ac180486dccee4df8a17a138.htm?store={store_code}	NA	0 miles	Pathfinder	5N1DR3DK5TC293784	2026	55910 USD	MM100	55910 USD	MI	no	New
JA4T0MA95TZ031384	2026 Nissan Rogue Plug-In Hybrid Platinum	Nissan	https://www.mankatomotors.com/new/Nissan/2026-Nissan-Rogue-Plug-In-Hybrid-bcf9dcbeac1833deba8e7e1bd27db401.htm	44465 USD	2026 Alpine Nissan Rogue Plug-In Platinum 2.4L 4-Cylinder DI DOHC For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatonissan/1536/c0958c79102c8c4dffc422ac015ad200x.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JA4T0MA95TZ031384	https://www.mankatomotors.com/new/Nissan/2026-Nissan-Rogue-Plug-In-Hybrid-bcf9dcbeac1833deba8e7e1bd27db401.htm?store={store_code}	NA	0 miles	Rogue Plug-In	JA4T0MA95TZ031384	2026	44465 USD	MM100	44465 USD	MI	no	New
5N1BT3BB1TC878731	2026 Nissan Rogue Rock Creek	Nissan	https://www.mankatomotors.com/new/Nissan/2026-Nissan-Rogue-a52648c5ac183ecbd73d4eae3a4a93aa.htm	32445 USD	2026 Baja Storm Metallic Nissan Rogue Rock Creek 1.5L DOHC For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatonissan/1303/fa407306fc5dd80f3f12174e6df83131x.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	5N1BT3BB1TC878731	https://www.mankatomotors.com/new/Nissan/2026-Nissan-Rogue-a52648c5ac183ecbd73d4eae3a4a93aa.htm?store={store_code}	NA	0 miles	Rogue	5N1BT3BB1TC878731	2026	32445 USD	MM100	32445 USD	MI	no	New
1N6ED1EK4VN602322	2027 Nissan Frontier PRO-4XR	Nissan	https://www.mankatomotors.com/new/Nissan/2027-Nissan-Frontier-901ddb90ac18431504067597b0bf0aa5.htm	50045 USD	2027 Alpine Metallic Nissan Frontier PRO-4XR 3.8L V6 For sale at Mankato Motors in Mankato Minnesota.	https://images.dealer.com/autodata/us/color/2027/USD70NIT124D0/DAR.jpg	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1N6ED1EK4VN602322	https://www.mankatomotors.com/new/Nissan/2027-Nissan-Frontier-901ddb90ac18431504067597b0bf0aa5.htm?store={store_code}	NA	0 miles	Frontier	1N6ED1EK4VN602322	2027	50045 USD	MM100	50045 USD	MI	no	New
1N6ED1EK5VN605438	2027 Nissan Frontier SV	Nissan	https://www.mankatomotors.com/new/Nissan/2027-Nissan-Frontier-c8c3bc79ac1812d225eec517e34c4831.htm	42495 USD	2027 Alpine Nissan Frontier SV 3.8L V6 For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatonissan/0472/bdecdc3968c35aa462379bdf00d5af54x.jpg	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1N6ED1EK5VN605438	https://www.mankatomotors.com/new/Nissan/2027-Nissan-Frontier-c8c3bc79ac1812d225eec517e34c4831.htm?store={store_code}	NA	0 miles	Frontier	1N6ED1EK5VN605438	2027	42495 USD	MM100	42495 USD	MI	no	New
3N1AB9DV9VY207219	2027 Nissan Sentra SR	Nissan	https://www.mankatomotors.com/new/Nissan/2027-Nissan-Sentra-fac89491ac18341fab2e75cb590e3c75.htm	30065 USD	2027 2tonewhtbl Nissan Sentra SR 2L I4 DOHC For sale at Mankato Motors in Mankato Minnesota.	https://pictures.web.dealer.com/m/mankatonissan/1593/54d60709cd8bb82d312803e89cc43defx.jpg	in stock	NEW	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3N1AB9DV9VY207219	https://www.mankatomotors.com/new/Nissan/2027-Nissan-Sentra-fac89491ac18341fab2e75cb590e3c75.htm?store={store_code}	NA	0 miles	Sentra	3N1AB9DV9VY207219	2027	30065 USD	MM100	30065 USD	MI	no	New
