id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit
3C4PJMC25TT251927	2026 Jeep CHEROKEE OVERLAND 4X4	Jeep	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-cherokee-overland-4x4-sport-utility-3c4pjmc25tt251927/	44155 USD	2026 41 Exterior Paint Jeep Cherokee New 2026 Jeep Cherokee Overland Sport Utility 1.6L I4 For sale at Park Chrysler Jeep in Burnsville Minnesota.	https://vehicle-images.carscommerce.inc/3dba-110005314/3C4PJMC25TT251927/thumbnails/large/22a554a745077ed7c1ae9034bf75679c.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3C4PJMC25TT251927	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-cherokee-overland-4x4-sport-utility-3c4pjmc25tt251927/123?store={store_code}	NA	0 miles	Cherokee	3C4PJMC25TT251927	2026	44155 USD	PCJ100	44155 USD	MI
3C4PJMC26TT197389	2026 Jeep CHEROKEE OVERLAND 4X4	Jeep	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-cherokee-overland-4x4-sport-utility-3c4pjmc26tt197389/	42935 USD	2026 41 Exterior Paint Jeep Cherokee New 2026 Jeep Cherokee Overland Sport Utility 1.6L I4 For sale at Park Chrysler Jeep in Burnsville Minnesota.	https://vehicle-images.carscommerce.inc/faa5-110005314/3C4PJMC26TT197389/thumbnails/large/b8b8b12e687aae4aba9a14ecab5a6e03.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3C4PJMC26TT197389	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-cherokee-overland-4x4-sport-utility-3c4pjmc26tt197389/123?store={store_code}	NA	0 miles	Cherokee	3C4PJMC26TT197389	2026	42935 USD	PCJ100	42935 USD	MI
3C4NJDBN4TT179802	2026 Jeep COMPASS LATITUDE ALTITUDE 4X4	Jeep	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-compass-latitude-4x4-sport-utility-3c4njdbn4tt179802/	31725 USD	2026 Joose (DISC) Jeep Compass New 2026 Jeep Compass Latitude Sport Utility 2.0L I4 DOHC For sale at Park Chrysler Jeep in Burnsville Minnesota.	https://vehicle-images.carscommerce.inc/b9b8-110005314/3C4NJDBN4TT179802/thumbnails/large/ca43a75019da40c4be895572bcf2e018.jpg	in stock	NEW	SUV	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3C4NJDBN4TT179802	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-compass-latitude-4x4-sport-utility-3c4njdbn4tt179802/123?store={store_code}	NA	0 miles	Compass	3C4NJDBN4TT179802	2026	31725 USD	PCJ100	31725 USD	MI
1C6RJTEG4TL156645	2026 Jeep GLADIATOR MOJAVE 4X4	Jeep	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-mojave-4x4-crew-cab-1c6rjteg4tl156645/	53646 USD	2026 Reign Jeep Gladiator New 2026 Jeep Gladiator Mojave Crew Cab 3.6L V6 24V VVT For sale at Park Chrysler Jeep in Burnsville Minnesota.	https://vehicle-images.carscommerce.inc/4ba4-110005314/1C6RJTEG4TL156645/thumbnails/large/de43ee2b4d54f74dfae0322acc11b3c4.jpg	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6RJTEG4TL156645	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-mojave-4x4-crew-cab-1c6rjteg4tl156645/123?store={store_code}	NA	0 miles	Gladiator	1C6RJTEG4TL156645	2026	53646 USD	PCJ100	53646 USD	MI
1C6RJTEG6TL161216	2026 Jeep GLADIATOR MOJAVE 4X4	Jeep	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-mojave-4x4-crew-cab-1c6rjteg6tl161216/	50702 USD	2026 Mojito (DISC) Jeep Gladiator New 2026 Jeep Gladiator Mojave Crew Cab 3.6L V6 24V VVT For sale at Park Chrysler Jeep in Burnsville Minnesota.	https://vehicle-images.carscommerce.inc/7860-110005314/1C6RJTEG6TL161216/thumbnails/large/65fe412c0352b0c3139d9abbb6625a2d.jpg	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6RJTEG6TL161216	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-mojave-4x4-crew-cab-1c6rjteg6tl161216/123?store={store_code}	NA	0 miles	Gladiator	1C6RJTEG6TL161216	2026	50702 USD	PCJ100	50702 USD	MI
1C6RJTBG1TL178901	2026 Jeep GLADIATOR SHADOW OPS 4X4	Jeep	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-shadow-ops-4x4-crew-cab-1c6rjtbg1tl178901/	55480 USD	2026 Anvil Clearcoat Jeep Gladiator New 2026 Jeep Gladiator Shadow Ops Crew Cab 3.6L V6 24V VVT For sale at Park Chrysler Jeep in Burnsville Minnesota.	https://vehicle-images.carscommerce.inc/9df7-110005314/1C6RJTBG1TL178901/thumbnails/large/4883f836c5b345ad272b89fed044009e.jpg	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6RJTBG1TL178901	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-shadow-ops-4x4-crew-cab-1c6rjtbg1tl178901/123?store={store_code}	NA	0 miles	Gladiator	1C6RJTBG1TL178901	2026	55480 USD	PCJ100	55480 USD	MI
1C6RJTBG3TL178656	2026 Jeep GLADIATOR SHADOW OPS 4X4	Jeep	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-shadow-ops-4x4-crew-cab-1c6rjtbg3tl178656/	57586 USD	2026 Anvil Clearcoat Jeep Gladiator New 2026 Jeep Gladiator Shadow Ops Crew Cab 3.6L V6 24V VVT For sale at Park Chrysler Jeep in Burnsville Minnesota.	https://vehicle-images.carscommerce.inc/a0f1-110005314/1C6RJTBG3TL178656/thumbnails/large/f33b82021e4bd138e6674be6ccdcf146.jpg	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6RJTBG3TL178656	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-shadow-ops-4x4-crew-cab-1c6rjtbg3tl178656/123?store={store_code}	NA	0 miles	Gladiator	1C6RJTBG3TL178656	2026	57586 USD	PCJ100	57586 USD	MI
1C6RJTBG5TL180893	2026 Jeep GLADIATOR SHADOW OPS 4X4	Jeep	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-shadow-ops-4x4-crew-cab-1c6rjtbg5tl180893/	54044 USD	2026 Anvil Clearcoat Jeep Gladiator New 2026 Jeep Gladiator Shadow Ops Crew Cab 3.6L V6 24V VVT For sale at Park Chrysler Jeep in Burnsville Minnesota.	https://vehicle-images.carscommerce.inc/cbc1-110005314/1C6RJTBG5TL180893/thumbnails/large/62c3fae38c3b08d8ff8a616eafb65e0c.jpg	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6RJTBG5TL180893	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-shadow-ops-4x4-crew-cab-1c6rjtbg5tl180893/123?store={store_code}	NA	0 miles	Gladiator	1C6RJTBG5TL180893	2026	54044 USD	PCJ100	54044 USD	MI
1C6PJTAG0TL185993	2026 Jeep GLADIATOR SPORT S 4X4	Jeep	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-sport-s-4x4-crew-cab-1c6pjtag0tl185993/	46510 USD	2026 41 Jeep Gladiator New 2026 Jeep Gladiator Sport S Crew Cab 3.6L V6 24V VVT For sale at Park Chrysler Jeep in Burnsville Minnesota.	https://vehicle-images.carscommerce.inc/63c8-110005314/1C6PJTAG0TL185993/thumbnails/large/2111573bace1594a3fa7201a1ab10f3f.jpg	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6PJTAG0TL185993	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-sport-s-4x4-crew-cab-1c6pjtag0tl185993/123?store={store_code}	NA	0 miles	Gladiator	1C6PJTAG0TL185993	2026	46510 USD	PCJ100	46510 USD	MI
1C6PJTAG2TL185994	2026 Jeep GLADIATOR SPORT S 4X4	Jeep	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-sport-s-4x4-crew-cab-1c6pjtag2tl185994/	50015 USD	2026 Anvil Clearcoat Jeep Gladiator New 2026 Jeep Gladiator Sport S Crew Cab 3.6L V6 24V VVT For sale at Park Chrysler Jeep in Burnsville Minnesota.	https://vehicle-images.carscommerce.inc/e2c8-110005314/1C6PJTAG2TL185994/thumbnails/large/aa7f57df5adc4a15d93ab0c89d7cb7f5.jpg	in stock	NEW	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1C6PJTAG2TL185994	https://www.parkjeepchrysler.com/inventory/new-2026-jeep-gladiator-sport-s-4x4-crew-cab-1c6pjtag2tl185994/123?store={store_code}	NA	0 miles	Gladiator	1C6PJTAG2TL185994	2026	50015 USD	PCJ100	50015 USD	MI
