id	title	brand	link	vehicle MSRP	description	image_link	availability	condition	product_type	google_product_category	MPN	link_template	color	mileage	model	vin	year	price	store code	MSRP	mileage.unit
5LMPJ9J48SJ904220	2025 Lincoln Nautilus Black Label	Lincoln	https://www.whitebearlincoln.com/certified/Lincoln/2025-Lincoln-Nautilus-f4ce305bac18231b1ae8e5af0ab42391.htm/	67347 USD	2025 Radiance Metallic Lincoln Nautilus Black Label 2.0L I-4 cyl For sale at White Bear Lincoln in White Bear Lake Minnesota.	https://pictures.dealer.com/w/whitebearlincolnfd/0548/c55c698f1e1f953cf2db2be242829a1bx.jpg	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	5LMPJ9J48SJ904220	https://www.whitebearlincoln.com/certified/Lincoln/2025-Lincoln-Nautilus-f4ce305bac18231b1ae8e5af0ab42391.htm/123?store={store_code}	NA	14005 miles	Nautilus	5LMPJ9J48SJ904220	2025	67347 USD	WHTBEARLNC	67347 USD	MI
5LMPJ8JA9TJ066278	2026 Lincoln Nautilus Premiere	Lincoln	https://www.whitebearlincoln.com/new/Lincoln/2026-Lincoln-Nautilus-1cc98a38ac185c951bb9a0cb3973b7fc.htm/	57255 USD	2026 Radiance Metallic Lincoln Nautilus Premiere 2.0L I-4 cyl For sale at White Bear Lincoln in White Bear Lake Minnesota.	https://pictures.dealer.com/w/whitebearlincolnfd/0855/75e6c7b7c2079c63856d00c4e2737663x.jpg	in stock	NEW	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	5LMPJ8JA9TJ066278	https://www.whitebearlincoln.com/new/Lincoln/2026-Lincoln-Nautilus-1cc98a38ac185c951bb9a0cb3973b7fc.htm/123?store={store_code}	NA	26 miles	Nautilus	5LMPJ8JA9TJ066278	2026	57255 USD	WHTBEARLNC	57255 USD	MI
1FT6W7L73RWG07336	2024 Ford F-150 Lightning Platinum	Ford	https://www.whitebearlincoln.com/used/Ford/2024-Ford-F-150-Lightning-aaf79f68ac1834a791521c6b49291f09.htm/	63845 USD	2024 Antimatter Blue Metallic Ford F-150 Lightning Platinum For sale at White Bear Lincoln in White Bear Lake Minnesota.	https://pictures.dealer.com/w/whitebearlincolnfd/0903/408846baf6ef60d17dcfc4941f1156dbx.jpg	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FT6W7L73RWG07336	https://www.whitebearlincoln.com/used/Ford/2024-Ford-F-150-Lightning-aaf79f68ac1834a791521c6b49291f09.htm/123?store={store_code}	BLUE	9379 miles	F-150 Lightning	1FT6W7L73RWG07336	2024	63845 USD	WHTBEARLNC	63845 USD	MI
1FTER4KH0RLE01128	2024 Ford Ranger Lariat	Ford	https://www.whitebearlincoln.com/used/Ford/2024-Ford-Ranger-de18620aac1858eeeb7394106a0ca34f.htm/	39348 USD	2024 Cactus Ford Ranger Lariat 2.3L I-4 cyl For sale at White Bear Lincoln in White Bear Lake Minnesota.	https://pictures.dealer.com/w/whitebearlincolnfd/1941/1f400979bb4b4224545f4ba8f62fa9ebx.jpg	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FTER4KH0RLE01128	https://www.whitebearlincoln.com/used/Ford/2024-Ford-Ranger-de18620aac1858eeeb7394106a0ca34f.htm/123?store={store_code}	NA	22389 miles	Ranger	1FTER4KH0RLE01128	2024	39348 USD	WHTBEARLNC	39348 USD	MI
1FT6W5L78SWG11277	2025 Ford F-150 Lightning Lariat	Ford	https://www.whitebearlincoln.com/used/Ford/2025-Ford-F-150-Lightning-f75995d0ac180706beba7998044abd88.htm/	60300 USD	2025 Iconic Silver Ford F-150 Lightning Lariat For sale at White Bear Lincoln in White Bear Lake Minnesota.	https://pictures.dealer.com/w/whitebearlincolnfd/0004/d7469d4d8df1c2c5a82a68b1dac39027x.jpg	in stock	USED	TRUCK	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	1FT6W5L78SWG11277	https://www.whitebearlincoln.com/used/Ford/2025-Ford-F-150-Lightning-f75995d0ac180706beba7998044abd88.htm/123?store={store_code}	SILVER	8873 miles	F-150 Lightning	1FT6W5L78SWG11277	2025	60300 USD	WHTBEARLNC	60300 USD	MI
3FMTK4SX0SMA05249	2025 Ford Mustang Mach-E GT	Ford	https://www.whitebearlincoln.com/used/Ford/2025-Ford-Mustang-Mach-E-04e3d0b1ac181809f12ccca6fd03285b.htm/	41148 USD	2025 Velocity Blue Ford Mustang Mach-E GT For sale at White Bear Lincoln in White Bear Lake Minnesota.	https://pictures.dealer.com/w/whitebearlincolnfd/0049/e6c42cfeee3c715f5c34df2e6cb606c1x.jpg	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3FMTK4SX0SMA05249	https://www.whitebearlincoln.com/used/Ford/2025-Ford-Mustang-Mach-E-04e3d0b1ac181809f12ccca6fd03285b.htm/123?store={store_code}	BLUE	14387 miles	Mustang Mach-E	3FMTK4SX0SMA05249	2025	41148 USD	WHTBEARLNC	41148 USD	MI
3FMTK4SXXSMA00818	2025 Ford Mustang Mach-E GT	Ford	https://www.whitebearlincoln.com/used/Ford/2025-Ford-Mustang-Mach-E-b3fb624aac185a7cf19ec641ac929670.htm/	42345 USD	2025 Star White Tri-Coat Ford Mustang Mach-E GT For sale at White Bear Lincoln in White Bear Lake Minnesota.	https://pictures.dealer.com/w/whitebearlincolnfd/1386/fc0fb24cd58819256533b302229f3296x.jpg	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3FMTK4SXXSMA00818	https://www.whitebearlincoln.com/used/Ford/2025-Ford-Mustang-Mach-E-b3fb624aac185a7cf19ec641ac929670.htm/123?store={store_code}	WHITE	6397 miles	Mustang Mach-E	3FMTK4SXXSMA00818	2025	42345 USD	WHTBEARLNC	42345 USD	MI
3FMTK3SU0SMA11875	2025 Ford Mustang Mach-E Premium	Ford	https://www.whitebearlincoln.com/used/Ford/2025-Ford-Mustang-Mach-E-b61f6fa7ac18477fe6a88025c01ff932.htm/	35345 USD	2025 Desert Sand Ford Mustang Mach-E Premium For sale at White Bear Lincoln in White Bear Lake Minnesota.	https://pictures.dealer.com/w/whitebearlincolnfd/1929/28e57f30f1452b88dd40f670feebdbaex.jpg	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3FMTK3SU0SMA11875	https://www.whitebearlincoln.com/used/Ford/2025-Ford-Mustang-Mach-E-b61f6fa7ac18477fe6a88025c01ff932.htm/123?store={store_code}	BEIGE	17660 miles	Mustang Mach-E	3FMTK3SU0SMA11875	2025	35345 USD	WHTBEARLNC	35345 USD	MI
3FMTK4SX2SMA05348	2025 Ford Mustang Mach-E GT	Ford	https://www.whitebearlincoln.com/used/Ford/2025-Ford-Mustang-Mach-E-d8af3bcdac1829d834f74c6ffe6c8140.htm/	40999 USD	2025 Shadow Black Ford Mustang Mach-E GT For sale at White Bear Lincoln in White Bear Lake Minnesota.	https://pictures.dealer.com/w/whitebearlincolnfd/0597/8a0b4ccf519dfbe50d2a9d8aa8540e66x.jpg	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	3FMTK4SX2SMA05348	https://www.whitebearlincoln.com/used/Ford/2025-Ford-Mustang-Mach-E-d8af3bcdac1829d834f74c6ffe6c8140.htm/123?store={store_code}	BLACK	18614 miles	Mustang Mach-E	3FMTK4SX2SMA05348	2025	40999 USD	WHTBEARLNC	40999 USD	MI
JTHFN48Y920015806	2002 LEXUS SC 430 430	LEXUS	https://www.whitebearlincoln.com/used/Lexus/2002-Lexus-SC-430-d872bbfcac185f4a61acbc35eb006958.htm/	13845 USD	2002 Twilight Amethyst Pearl LEXUS SC 430 430 4.3L V-8 cyl For sale at White Bear Lincoln in White Bear Lake Minnesota.	https://pictures.dealer.com/w/whitebearlincolnfd/1503/65d606dcec30032b1aca29aa5d1a3bf9x.jpg	in stock	USED	OTHER	Vehicles & Parts > Vehicles > Motor Vehicles > Cars, Trucks & Vans	JTHFN48Y920015806	https://www.whitebearlincoln.com/used/Lexus/2002-Lexus-SC-430-d872bbfcac185f4a61acbc35eb006958.htm/123?store={store_code}	NA	130702 miles	SC 430	JTHFN48Y920015806	2002	13845 USD	WHTBEARLNC	13845 USD	MI
